Desempleo,Mujer,EdadJun24,roa,tep_descripcion_clean,SinEduc,Primaria,Secundaria,Superior,apo_salario,Antiguedad,Nivel_Educacion,Genero
1,1,41,0.0,EMPRESA UNIPERSONAL /  PEQUEÑA INDUSTRIA,0,0,1,0,471.0,0,Secundaria,Mujer
1,1,60,0.0,"FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO",0,0,0,1,1676.0,123,Superior,Mujer
1,1,27,7.386995,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,479.0,17,Secundaria,Mujer
1,1,42,0.19959171,EMPRESA UNIPERSONAL /  PEQUEÑA INDUSTRIA,0,0,1,0,479.0,4,Secundaria,Mujer
1,0,23,0.0,EMPRESA UNIPERSONAL /  PEQUEÑA INDUSTRIA,1,0,0,0,478.0,0,Sin Educación,Hombre
0,0,53,0.35393363,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,1,0,0,560.0,55,Primaria,Hombre
0,1,32,-4.9528275,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,460.0,30,Secundaria,Mujer
1,1,28,0.0,ORGANISMOS DEL REGIMEN SECCIONAL,0,0,1,0,460.0,15,Secundaria,Mujer
0,1,23,1.5833268,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,460.0,20,Secundaria,Mujer
1,0,21,0.0,EMPRESA UNIPERSONAL /  PEQUEÑA INDUSTRIA,0,1,0,0,460.0,18,Primaria,Hombre
1,1,35,0.0,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,0,1,476.0,100,Superior,Mujer
0,0,20,2.0342712,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,468.0,5,Secundaria,Hombre
0,0,39,0.0,EMPRESA UNIPERSONAL /  PEQUEÑA INDUSTRIA,0,0,0,1,950.0,79,Superior,Hombre
1,0,51,0.0,"FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO",0,0,0,1,4283.0,0,Superior,Hombre
0,0,45,5.0714254,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,2500.0,82,Secundaria,Hombre
0,1,30,-18.924696,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,0,1,460.0,16,Superior,Mujer
0,0,27,1.1572118,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,461.0,16,Secundaria,Hombre
1,0,40,-3.1008554,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,0,1,4400.0,94,Superior,Hombre
1,0,51,0.0,ORGANISMOS DEL REGIMEN SECCIONAL,0,0,1,0,527.0,27,Secundaria,Hombre
1,0,49,0.0,CONSTRUCCION,0,1,0,0,478.0,10,Primaria,Hombre
1,1,68,0.0,EMPLEADOR DOMESTICO,0,1,0,0,460.0,176,Primaria,Mujer
1,1,31,0.0,ORGANISMOS DEL REGIMEN SECCIONAL,0,0,0,1,460.0,4,Superior,Mujer
1,0,39,0.0,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,0,1,469.0,91,Superior,Hombre
0,0,45,0.0,"FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO",0,0,0,1,986.0,35,Superior,Hombre
